name,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01
7 Days to Die,1240.0,887.0,932.0,1439.0,1245.0,7022.0,27860.0,14871.0,9429.0,8652.0,7934.0,2121.0,10178.0,6472.0,5653.0,4688.0,6398.0,7909.0,10547.0,7384.0,5669.0,5991.0,6548.0,6766.0,6798.0,5760.0,5608.0,5513.0,5338.0,4954.0,5186.0,4872.0,4304.0,4853.0,6592.0,7266.0,6786.0,4604.0,4816.0,4432.0,4674.0,4688.0,5113.0,4799.0,3898.0,7524.0,8057.0,7238.0,7268.0,6199.0,7206.0,6446.0,7066.0,6309.0,10624.0,9189.0,8873.0,8738.0,10520.0,10519.0,12949.0,9989.0,8310.0
A Way Out,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,21244.0,13106.0,4319.0,2663.0,1869.0,1629.0,1301.0,999.0,1294.0,1476.0,1863.0,1745.0,2191.0,1760.0,1356.0,1342.0,1192.0,1524.0,1202.0,873.0,1229.0,1501.0,1355.0,1216.0,1557.0,2481.0,2617.0,2809.0,3323.0,2591.0,3176.0,2162.0,6236.0,4762.0,5478.0,5262.0,6851.0
ARK: Survival Evolved,9575.0,8888.0,7444.0,5210.0,6571.0,6313.0,5823.0,5228.0,6800.0,4829.0,4316.0,1451.0,24488.0,18138.0,11041.0,10138.0,12274.0,14830.0,14784.0,13485.0,16328.0,12755.0,11805.0,19391.0,17943.0,13250.0,13761.0,12685.0,12129.0,14588.0,13968.0,8919.0,7467.0,7486.0,15470.0,11598.0,11064.0,7826.0,9411.0,9601.0,9688.0,12601.0,12697.0,10944.0,8416.0,7119.0,7624.0,8880.0,10776.0,12045.0,16504.0,13087.0,11787.0,21832.0,15586.0,13889.0,13425.0,15150.0,20083.0,22907.0,31588.0,31582.0,26067.0
American Truck Simulator,186.0,7784.0,3152.0,1902.0,1906.0,1962.0,1717.0,1455.0,1292.0,1192.0,1256.0,325.0,1520.0,1353.0,1098.0,1056.0,1551.0,1766.0,1910.0,1439.0,1317.0,1498.0,2342.0,1964.0,2360.0,1914.0,1927.0,1793.0,2000.0,2273.0,2761.0,2160.0,2176.0,3377.0,2714.0,2773.0,2535.0,2250.0,2366.0,2099.0,2314.0,3494.0,3261.0,2358.0,2170.0,2195.0,2635.0,3260.0,2991.0,2671.0,3157.0,3477.0,3031.0,2535.0,3746.0,2894.0,2699.0,3465.0,3946.0,4620.0,4392.0,4174.0,4364.0
Amnesia: Collection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,90.0,211.0,130.0,57.0,76.0,77.0,237.0,277.0,196.0,111.0,8440.0,1590.0,626.0,591.0,510.0,512.0,420.0,435.0,326.0,340.0,484.0,375.0,754.0,388.0,346.0,358.0,273.0,365.0,349.0,297.0,312.0,318.0,307.0,253.0,387.0,248.0,226.0,257.0,203.0,338.0,324.0,478.0,466.0,603.0,449.0,457.0,1129.0,996.0,0.0,0.0,0.0,0.0
Among Us,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,8.0,3.0,21.0,38.0,32.0,83.0,327.0,573.0,518.0,304.0,248.0,228.0,427.0,699.0,910.0,1208.0,1978.0,2458.0,8466.0,73330.0,410661.0,386445.0,250289.0,178817.0,139022.0,83756.0,70224.0
Animal Crossing: New Horizons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,41.0,40068.0,38121.0,25999.0,17257.0,16671.0,12106.0,10010.0,12448.0,11072.0,13072.0,12818.0,12147.0,15316.0
Anthem,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20549.0,54212.0,21706.0,4344.0,2209.0,1352.0,1034.0,2027.0,1301.0,943.0,1127.0,1321.0,1180.0,1130.0,858.0,756.0,823.0,674.0,646.0,794.0,653.0,517.0,859.0,681.0,874.0,900.0,698.0
Apex Legends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663781.0,437017.0,259932.0,175115.0,139885.0,193078.0,166956.0,124810.0,177082.0,111172.0,114378.0,132964.0,204742.0,183683.0,135535.0,178385.0,154296.0,156699.0,166678.0,144309.0,161167.0,241200.0,208690.0,232847.0,303619.0,317439.0
Arma 3,8771.0,8273.0,7638.0,7708.0,9159.0,9124.0,9611.0,8719.0,7825.0,7807.0,7467.0,2754.0,10912.0,8657.0,7976.0,7286.0,8052.0,8296.0,8349.0,6750.0,6465.0,6210.0,6370.0,7244.0,7317.0,6298.0,6954.0,7512.0,7343.0,7021.0,7664.0,6632.0,5793.0,5707.0,5066.0,5788.0,6659.0,6086.0,6288.0,6032.0,6158.0,5750.0,6440.0,5787.0,4986.0,4612.0,4105.0,4639.0,5641.0,5126.0,5709.0,6013.0,5542.0,4265.0,4290.0,4481.0,4332.0,4762.0,4862.0,4509.0,5318.0,4985.0,5116.0
